Combo,Individual,Pheno,ID,Group_n,Group,Group_d,Treatment,Perc_viability,Width_flower,Width_stem,Decomposed,Predator
NA,P4.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.34.4,P4.34,P4,34,4,Aug_16,Day 21,Outside,0.4,1.4,0.19,N,Y
P4.35.3,P4.35,P4,35,3,Aug_9,Day 14,Outside,0.3,1.8,0.11,N,N
P4.36.2,P4.36,P4,36,2,Aug_3,Day 7,Outside,0.25,1.6,0.17,N,Y
NA,P4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P4.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.39.4,P4.39,P4,39,4,Aug_16,Day 21,Outside,0,1.1,0.13,N,N
P4.4.1,P4.4,P4,4,1,July_27,Day 1,Inside,0.5,1.8,0.13,N,N
P4.40.3,P4.40,P4,40,3,Aug_9,Day 14,Outside,0,1.5,0.12,N,N
P4.41.1,P4.41,P4,41,1,July_27,Day 1,Inside,0.1,1.2,0.18,N,N
P4.42.3,P4.42,P4,42,3,Aug_9,Day 14,Outside,0,2,0.1,N,Y
NA,P4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.44.3,P4.44,P4,44,3,Aug_9,Day 14,Inside,0.15,1.1,0.15,N,N
P4.45.4,P4.45,P4,45,4,Aug_16,Day 21,Outside,0.1,1.5,0.14,N,Y
P4.46.2,P4.46,P4,46,2,Aug_3,Day 7,Outside,0.05,1.7,0.17,N,Y
P4.47.3,P4.47,P4,47,3,Aug_9,Day 14,Outside,0.1,1,0.11,N,Y
NA,P4.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.49.1,P4.49,P4,49,1,July_27,Day 1,Inside,0.65,1.9,0.13,N,N
P4.5.1,P4.5,P4,5,1,July_27,Day 1,Outside,0,1.3,0.19,N,N
P4.50.3,P4.50,P4,50,3,Aug_9,Day 14,Inside,0.25,1.2,0.12,N,N
NA,P4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.52.4,P4.52,P4,52,4,Aug_16,Day 21,Outside,0.25,1.3,0.1,N,Y
P4.53.2,P4.53,P4,53,2,Aug_3,Day 7,Outside,0.4,1.8,0.15,N,N
NA,P4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.55.1,P4.55,P4,55,1,July_27,Day 1,Inside,0.1,1.1,0.14,N,N
P4.56.2,P4.56,P4,56,2,Aug_3,Day 7,Inside,0.45,1.7,0.13,N,Y
NA,P4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.58.1,P4.58,P4,58,1,July_27,Day 1,Inside,0.35,1.1,0.15,N,N
P4.59.2,P4.59,P4,59,2,Aug_3,Day 7,Inside,0.4,1.7,0.11,N,N
P4.6.2,P4.6,P4,6,2,Aug_3,Day 7,Inside,0.1,1.9,0.16,N,N
NA,P4.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.61.2,P4.61,P4,61,2,Aug_3,Day 7,Inside,0.35,1.9,0.18,N,N
P4.62.4,P4.62,P4,62,4,Aug_16,Day 21,Inside,0.15,1.7,0.1,N,N
P4.63.4,P4.63,P4,63,4,Aug_16,Day 21,Inside,0,1.4,0.14,N,N
NA,P4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.65.3,P4.65,P4,65,3,Aug_9,Day 14,Inside,0.55,2,0.15,N,N
P4.66.3,P4.66,P4,66,3,Aug_9,Day 14,Outside,0.05,1.5,0.13,N,N
P4.67.2,P4.67,P4,67,2,Aug_3,Day 7,Inside,0.7,1.2,0.16,N,Y
P4.68.4,P4.68,P4,68,4,Aug_16,Day 21,Outside,0.3,1.8,0.12,N,Y
P4.69.3,P4.69,P4,69,3,Aug_9,Day 14,Inside,0.1,1.6,0.18,N,Y
P4.7.1,P4.7,P4,7,1,July_27,Day 1,Inside,0.45,1.7,0.12,N,N
P4.70.3,P4.70,P4,70,3,Aug_9,Day 14,Outside,0.2,1.1,0.1,N,Y
P4.71.3,P4.71,P4,71,3,Aug_9,Day 14,Outside,0,1.5,0.14,N,N
P4.72.3,P4.72,P4,72,3,Aug_9,Day 14,Outside,0.8,1.3,0.17,N,N
NA,P4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.74.2,P4.74,P4,74,2,Aug_3,Day 7,Outside,0.35,1.2,0.12,N,Y
P4.75.1,P4.75,P4,75,1,July_27,Day 1,Inside,0.15,1.7,0.17,N,N
P4.76.2,P4.76,P4,76,2,Aug_3,Day 7,Inside,0.2,1.1,0.14,N,Y
P4.77.1,P4.77,P4,77,1,July_27,Day 1,Outside,0.4,1.7,0.16,N,N
P4.78.1,P4.78,P4,78,1,July_27,Day 1,Inside,0.35,1.4,0.13,N,N
NA,P4.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.8.1,P4.8,P4,8,1,July_27,Day 1,Outside,0.1,1.5,0.18,N,N
P4.80.3,P4.80,P4,80,3,Aug_9,Day 14,Inside,0.5,1.9,0.11,N,Y
P4.81.3,P4.81,P4,81,3,Aug_9,Day 14,Inside,0.35,1.6,0.19,N,N
NA,P4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P4.83.4,P4.83,P4,83,4,Aug_16,Day 21,Outside,0,1.9,0.13,N,Y
NA,P4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.85.3,P4.85,P4,85,3,Aug_9,Day 14,Outside,0,1.3,0.1,N,Y
P4.86.1,P4.86,P4,86,1,July_27,Day 1,Inside,0.5,1.8,0.14,N,N
P4.87.4,P4.87,P4,87,4,Aug_16,Day 21,Inside,0.05,1.1,0.17,N,N
P4.88.4,P4.88,P4,88,4,Aug_16,Day 21,Outside,0,1.5,0.15,N,N
P4.89.1,P4.89,P4,89,1,July_27,Day 1,Outside,0.2,1.2,0.13,N,N
P4.9.1,P4.9,P4,9,1,July_27,Day 1,Outside,0,1.2,0.1,N,N
P4.90.4,P4.90,P4,90,4,Aug_16,Day 21,Inside,0.15,1.9,0.16,N,Y
P4.91.1,P4.91,P4,91,1,July_27,Day 1,Inside,0.45,1.6,0.12,N,N
P4.92.3,P4.92,P4,92,3,Aug_9,Day 14,Inside,0,1.1,0.15,N,Y
P4.93.3,P4.93,P4,93,3,Aug_9,Day 14,Outside,0.05,1.7,0.11,N,Y
P4.94.2,P4.94,P4,94,2,Aug_3,Day 7,Outside,0,1.4,0.19,N,Y
P4.95.3,P4.95,P4,95,3,Aug_9,Day 14,Inside,0.35,1.2,0.18,N,N
P4.96.4,P4.96,P4,96,4,Aug_16,Day 21,Outside,0,1.8,0.1,N,N
NA,P4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P4.98.4,P4.98,P4,98,4,Aug_16,Day 21,Inside,0,1.1,0.12,N,Y
NA,P4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
